loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,Income_to_Loan,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status,loan_status1
39,5,Graduate,No,3600000,7700000,0.467532468,16,830,7000000,1300000,10000000,2900000,Approved,1
40,3,Not Graduate,Yes,1500000,5100000,0.294117647,6,352,100000,200000,5600000,900000,Rejected,0
41,1,Graduate,No,7800000,18100000,0.430939227,2,712,8600000,11200000,21700000,9000000,Approved,1
42,2,Not Graduate,No,9100000,24900000,0.365461847,16,822,22300000,12100000,31000000,5200000,Approved,1
43,3,Graduate,No,1400000,3400000,0.411764706,6,540,200000,1500000,3900000,800000,Rejected,0
44,2,Graduate,Yes,800000,2300000,0.347826087,12,342,2200000,1300000,1800000,800000,Rejected,0
45,5,Graduate,No,6500000,13400000,0.485074627,18,787,18200000,300000,16200000,5400000,Approved,1
46,4,Graduate,No,8000000,27800000,0.287769784,16,331,13000000,6300000,21400000,10900000,Rejected,0
47,3,Not Graduate,Yes,4200000,14600000,0.287671233,6,679,2400000,6900000,8700000,4900000,Approved,1
48,1,Graduate,Yes,4900000,19100000,0.256544503,14,677,5400000,9100000,17700000,6500000,Approved,1
49,3,Not Graduate,No,5500000,20500000,0.268292683,12,634,800000,8600000,18500000,8200000,Approved,1
50,1,Not Graduate,Yes,9500000,19100000,0.497382199,16,662,100000,10500000,37700000,11700000,Approved,1
51,4,Graduate,No,7300000,25400000,0.287401575,16,502,500000,1800000,20500000,10500000,Rejected,0
52,2,Graduate,No,8700000,24700000,0.352226721,10,435,6800000,3500000,21800000,11300000,Rejected,0
53,5,Not Graduate,No,3800000,7600000,0.5,4,689,8700000,100000,9300000,3400000,Approved,1
54,1,Not Graduate,Yes,8400000,23000000,0.365217391,12,657,15400000,14800000,31900000,8200000,Approved,1
55,2,Graduate,Yes,5100000,19700000,0.258883249,20,590,7400000,9300000,19400000,3400000,Approved,1
56,5,Not Graduate,No,6700000,24500000,0.273469388,12,818,1200000,5600000,16300000,6200000,Approved,1
57,2,Not Graduate,No,4300000,10600000,0.405660377,18,431,2100000,1500000,9300000,5200000,Rejected,0
58,5,Graduate,Yes,9300000,30500000,0.304918033,18,841,19300000,10300000,34600000,8700000,Approved,1
59,1,Graduate,No,7400000,18400000,0.402173913,20,421,18500000,9100000,17500000,4100000,Rejected,0
60,4,Not Graduate,Yes,5500000,18200000,0.302197802,16,797,-100000,4900000,18600000,4800000,Approved,1
61,2,Not Graduate,No,8500000,18900000,0.44973545,18,478,23800000,16300000,25900000,11400000,Rejected,0
62,3,Not Graduate,Yes,9600000,30500000,0.314754098,18,669,4700000,1900000,26500000,9300000,Approved,1
63,5,Not Graduate,Yes,8800000,28900000,0.30449827,6,365,24400000,8600000,27400000,4700000,Rejected,0
64,3,Not Graduate,Yes,3300000,7500000,0.44,20,586,1600000,5600000,10500000,2900000,Approved,1
65,4,Graduate,Yes,3900000,12300000,0.317073171,18,784,7600000,6900000,13100000,2800000,Approved,1
66,1,Graduate,No,4100000,10300000,0.398058252,12,364,9500000,6100000,14900000,2800000,Rejected,0
67,3,Not Graduate,No,8300000,29100000,0.285223368,10,715,6100000,11900000,24100000,11900000,Approved,1
68,0,Not Graduate,Yes,2700000,10100000,0.267326733,20,693,200000,1700000,5900000,1400000,Rejected,0
69,4,Graduate,No,5600000,12400000,0.451612903,4,777,5500000,3100000,11800000,5500000,Approved,1
70,0,Graduate,No,1900000,5000000,0.38,12,312,4000000,2800000,4900000,2400000,Rejected,0
71,4,Not Graduate,Yes,500000,1500000,0.333333333,20,340,100000,200000,1900000,600000,Rejected,0
72,5,Graduate,Yes,5300000,18600000,0.284946237,4,386,2700000,9700000,11900000,4200000,Approved,1
73,5,Not Graduate,No,7000000,18300000,0.382513661,4,418,18400000,11700000,21500000,7600000,Rejected,0
74,3,Not Graduate,Yes,5800000,16700000,0.347305389,16,735,3900000,9400000,12600000,5600000,Approved,1
75,2,Not Graduate,No,2600000,8400000,0.30952381,6,494,6500000,3800000,5600000,2000000,Rejected,0
76,2,Not Graduate,No,1900000,6500000,0.292307692,18,671,600000,2500000,4800000,1100000,Approved,1
77,4,Graduate,No,5700000,14800000,0.385135135,16,697,14300000,7800000,12900000,6300000,Approved,1
78,0,Graduate,No,9000000,33500000,0.268656716,8,801,11600000,8900000,35400000,11100000,Approved,1
79,2,Not Graduate,No,8500000,29400000,0.289115646,12,576,17600000,5600000,25200000,9000000,Approved,1
80,0,Not Graduate,No,700000,1400000,0.5,14,639,1900000,700000,2400000,900000,Approved,1
81,4,Graduate,No,3500000,8900000,0.393258427,4,470,1300000,2200000,12300000,2000000,Rejected,0
82,0,Not Graduate,No,8800000,31200000,0.282051282,4,826,2900000,500000,33300000,8600000,Approved,1
83,2,Not Graduate,Yes,9900000,21200000,0.466981132,16,363,25500000,11400000,26600000,6800000,Rejected,0
84,3,Graduate,No,3600000,8600000,0.418604651,20,613,9400000,300000,10300000,3300000,Approved,1
85,3,Not Graduate,Yes,3000000,8200000,0.365853659,16,713,5300000,5800000,11000000,3400000,Approved,1
86,2,Graduate,No,6800000,21200000,0.320754717,16,439,17100000,4700000,23300000,3600000,Rejected,0
87,5,Not Graduate,Yes,1100000,3800000,0.289473684,18,387,1300000,1200000,3800000,1600000,Rejected,0
88,1,Not Graduate,Yes,8700000,28300000,0.307420495,8,402,20400000,13600000,27900000,10200000,Rejected,0
89,4,Graduate,Yes,2000000,8000000,0.25,6,837,5100000,2600000,3900000,2900000,Approved,1
90,2,Not Graduate,No,9800000,37600000,0.260638298,10,641,24100000,0,23400000,7600000,Approved,1
91,4,Graduate,No,5700000,21100000,0.27014218,18,489,500000,4300000,12500000,6000000,Rejected,0
92,4,Graduate,No,8800000,20700000,0.425120773,18,540,19200000,3200000,22400000,12700000,Rejected,0
93,4,Graduate,No,3800000,8900000,0.426966292,4,844,9100000,3500000,13100000,4700000,Approved,1
94,1,Graduate,No,1700000,6400000,0.265625,10,452,900000,1100000,5600000,2100000,Rejected,0
95,2,Graduate,No,1000000,2000000,0.5,10,366,1200000,400000,3200000,1300000,Rejected,0
96,5,Graduate,No,300000,1100000,0.272727273,2,300,100000,500000,700000,400000,Approved,1
97,2,Graduate,Yes,6600000,15000000,0.44,18,470,1200000,4800000,18200000,7000000,Rejected,0
98,2,Not Graduate,No,8700000,25000000,0.348,20,861,14700000,8500000,23200000,7300000,Approved,1
99,4,Graduate,No,9400000,29400000,0.319727891,12,562,25900000,15200000,36400000,7100000,Approved,1
100,0,Graduate,No,4400000,10800000,0.407407407,14,463,2400000,4800000,13800000,4700000,Rejected,0
101,4,Not Graduate,No,400000,900000,0.444444444,12,478,700000,100000,1200000,100000,Rejected,0
102,2,Not Graduate,Yes,300000,1100000,0.272727273,2,702,300000,200000,500000,200000,Approved,1
103,2,Not Graduate,Yes,4300000,12900000,0.333333333,20,618,11400000,3600000,11400000,2400000,Approved,1
104,4,Graduate,No,1600000,4500000,0.355555556,12,633,700000,1700000,4100000,1900000,Approved,1
105,5,Not Graduate,Yes,6200000,23600000,0.262711864,10,331,18500000,10300000,23800000,8700000,Rejected,0
106,3,Not Graduate,Yes,4200000,9700000,0.432989691,16,841,7800000,300000,16700000,5100000,Approved,1
107,4,Not Graduate,Yes,9000000,18100000,0.497237569,12,764,600000,16500000,20800000,11600000,Approved,1
108,0,Graduate,No,2700000,10600000,0.254716981,6,591,1300000,2700000,9900000,1800000,Approved,1
109,1,Graduate,Yes,9700000,35900000,0.270194986,2,719,19600000,7600000,20400000,10900000,Approved,1
110,2,Graduate,No,3300000,6800000,0.485294118,14,317,3400000,300000,11700000,3600000,Rejected,0
111,0,Not Graduate,No,300000,1100000,0.272727273,8,778,800000,200000,900000,100000,Approved,1
112,3,Graduate,Yes,7400000,18200000,0.406593407,14,302,5600000,3100000,17900000,5000000,Rejected,0
113,5,Not Graduate,No,7100000,19700000,0.360406091,8,502,7300000,5600000,25300000,9800000,Rejected,0
114,5,Not Graduate,Yes,7300000,22100000,0.330316742,18,879,19500000,10600000,19300000,9800000,Approved,1
115,1,Not Graduate,No,8400000,23400000,0.358974359,14,437,15400000,5800000,33400000,8100000,Rejected,0
116,0,Not Graduate,Yes,3300000,10800000,0.305555556,12,797,600000,6000000,7700000,3300000,Approved,1
117,4,Not Graduate,Yes,5800000,23200000,0.25,18,456,16100000,4200000,22600000,7500000,Rejected,0
118,0,Not Graduate,No,600000,1600000,0.375,6,647,1500000,600000,1500000,700000,Approved,1
119,0,Not Graduate,No,7200000,15800000,0.455696203,12,379,12700000,12200000,21500000,3600000,Rejected,0
120,1,Not Graduate,Yes,9100000,32900000,0.276595745,2,717,2200000,2000000,23600000,5900000,Approved,1
121,5,Graduate,No,900000,2300000,0.391304348,16,545,100000,200000,2700000,800000,Rejected,0
122,2,Graduate,No,800000,3200000,0.25,8,317,300000,1000000,2000000,900000,Rejected,0
123,1,Not Graduate,No,8500000,32900000,0.258358663,10,570,5100000,6200000,20500000,5500000,Approved,1
124,0,Not Graduate,Yes,9000000,18700000,0.481283422,18,865,26800000,0,20900000,11300000,Approved,1
125,3,Graduate,No,7000000,19500000,0.358974359,14,719,12200000,10300000,18200000,10200000,Approved,1
126,3,Graduate,No,200000,600000,0.333333333,16,821,400000,100000,500000,100000,Approved,1
127,4,Not Graduate,Yes,400000,800000,0.5,10,859,900000,500000,800000,200000,Approved,1
128,3,Not Graduate,No,5100000,18200000,0.28021978,10,395,100000,8000000,15500000,6300000,Rejected,0
129,2,Not Graduate,Yes,700000,2600000,0.269230769,12,429,1600000,1300000,2700000,800000,Rejected,0
130,3,Graduate,No,400000,1200000,0.333333333,12,861,200000,600000,1100000,200000,Approved,1
131,0,Not Graduate,Yes,9500000,20800000,0.456730769,14,565,15100000,11900000,33900000,13400000,Approved,1
132,5,Graduate,No,8800000,22600000,0.389380531,10,357,7900000,8600000,18200000,4900000,Rejected,0
133,3,Not Graduate,Yes,1800000,3600000,0.5,18,465,600000,500000,5400000,2600000,Rejected,0
134,4,Not Graduate,Yes,6800000,13900000,0.489208633,8,479,11700000,9100000,25700000,9600000,Rejected,0
135,3,Not Graduate,No,1500000,5500000,0.272727273,16,717,2100000,800000,4400000,1300000,Approved,1
136,3,Graduate,No,1600000,5500000,0.290909091,12,425,600000,800000,5400000,900000,Rejected,0
137,2,Not Graduate,No,4600000,16700000,0.275449102,2,786,200000,5900000,13900000,6100000,Approved,1
138,5,Not Graduate,Yes,2200000,6700000,0.328358209,6,382,4400000,1300000,8600000,1100000,Rejected,0
139,3,Not Graduate,Yes,2900000,8500000,0.341176471,12,564,1000000,3100000,7500000,1800000,Approved,1
140,0,Graduate,No,200000,700000,0.285714286,8,501,500000,200000,700000,100000,Rejected,0
141,2,Not Graduate,Yes,2500000,9400000,0.265957447,10,727,6600000,4100000,9500000,3300000,Approved,1
142,4,Not Graduate,No,3600000,7500000,0.48,6,894,1100000,6500000,7400000,2800000,Approved,1
143,0,Graduate,Yes,5500000,16700000,0.329341317,18,829,5500000,1300000,12800000,5900000,Approved,1
144,4,Not Graduate,No,6600000,17400000,0.379310345,20,506,2600000,10000000,25900000,7200000,Rejected,0
145,2,Graduate,Yes,8600000,32100000,0.267912773,6,802,9400000,16700000,24500000,9800000,Approved,1
146,5,Not Graduate,No,600000,1500000,0.4,14,543,300000,900000,2100000,300000,Rejected,0
147,3,Graduate,Yes,1400000,3200000,0.4375,20,772,2400000,900000,5100000,1600000,Approved,1
148,3,Graduate,No,4000000,11100000,0.36036036,12,572,9700000,100000,12500000,2400000,Approved,1
149,0,Not Graduate,Yes,4900000,11900000,0.411764706,16,709,14600000,900000,18500000,3800000,Approved,1
150,5,Graduate,No,2000000,6200000,0.322580645,18,402,4000000,2100000,7200000,1100000,Rejected,0
151,1,Not Graduate,Yes,5200000,19300000,0.269430052,8,481,14300000,9500000,18800000,4200000,Rejected,0
152,5,Graduate,Yes,8900000,28800000,0.309027778,6,772,13600000,5500000,20400000,8400000,Approved,1
153,1,Graduate,Yes,6500000,20600000,0.315533981,2,306,15900000,1900000,18100000,3200000,Approved,1
154,2,Not Graduate,No,1300000,4500000,0.288888889,6,415,0,900000,2900000,1200000,Rejected,0
155,3,Not Graduate,No,9400000,35000000,0.268571429,16,548,18200000,4400000,36100000,4800000,Rejected,0
156,5,Not Graduate,No,5000000,11200000,0.446428571,8,701,9100000,500000,14000000,4600000,Approved,1
157,2,Graduate,No,3000000,7700000,0.38961039,12,890,4700000,4300000,8400000,2100000,Approved,1
158,5,Not Graduate,Yes,9900000,33300000,0.297297297,6,364,5300000,18700000,27800000,8300000,Rejected,0
159,5,Graduate,Yes,700000,1300000,0.538461538,20,704,1600000,0,2200000,600000,Approved,1
160,3,Graduate,Yes,4000000,10600000,0.377358491,10,318,1500000,5100000,8000000,4900000,Rejected,0
161,5,Not Graduate,No,3100000,9600000,0.322916667,2,761,5800000,1800000,10400000,4200000,Approved,1
162,4,Not Graduate,No,4500000,15100000,0.298013245,6,693,3700000,1500000,17800000,6000000,Approved,1
163,3,Not Graduate,No,9700000,20600000,0.470873786,16,524,24200000,11100000,27400000,6100000,Rejected,0
164,2,Not Graduate,Yes,2000000,5300000,0.377358491,10,681,4900000,1400000,4300000,2900000,Approved,1
165,2,Graduate,Yes,8100000,22300000,0.3632287,18,737,22300000,12600000,27000000,7300000,Approved,1
166,0,Not Graduate,No,5700000,15900000,0.358490566,16,638,100000,9500000,16300000,4500000,Approved,1
167,4,Not Graduate,No,5800000,12800000,0.453125,2,656,500000,5000000,16000000,2800000,Approved,1
168,1,Graduate,No,1800000,6500000,0.276923077,6,540,2500000,3200000,5000000,1100000,Rejected,0
169,4,Not Graduate,Yes,9100000,35200000,0.258522727,6,341,1000000,300000,23100000,8200000,Rejected,0
170,0,Not Graduate,Yes,4800000,17500000,0.274285714,2,371,11700000,6800000,18700000,3500000,Approved,1
171,3,Not Graduate,Yes,3800000,10500000,0.361904762,12,886,4000000,500000,14900000,2300000,Approved,1
172,0,Not Graduate,No,1900000,4100000,0.463414634,18,801,400000,800000,4800000,1200000,Approved,1
173,3,Not Graduate,Yes,3600000,9500000,0.378947368,16,748,7700000,2400000,9700000,2600000,Approved,1
174,2,Not Graduate,Yes,7400000,28200000,0.262411348,8,376,21900000,5000000,17400000,5200000,Rejected,0
175,4,Not Graduate,Yes,6600000,14300000,0.461538462,8,371,10800000,9500000,18500000,7400000,Rejected,0
176,2,Graduate,No,1800000,5300000,0.339622642,6,826,4500000,700000,6500000,1300000,Approved,1
177,4,Not Graduate,No,9200000,27200000,0.338235294,12,873,4500000,1800000,33800000,11400000,Approved,1
178,5,Not Graduate,Yes,2400000,8600000,0.279069767,8,309,500000,600000,5700000,2800000,Rejected,0
179,4,Not Graduate,No,5600000,13300000,0.421052632,20,869,3300000,7500000,20000000,6500000,Approved,1
180,5,Graduate,No,3800000,13900000,0.273381295,12,534,4700000,2900000,8200000,2800000,Rejected,0
181,3,Not Graduate,Yes,4500000,17900000,0.251396648,6,787,9800000,3600000,14300000,4200000,Approved,1
182,0,Graduate,Yes,900000,2200000,0.409090909,16,566,100000,700000,2000000,600000,Approved,1
183,0,Not Graduate,No,2800000,9900000,0.282828283,8,742,4900000,1300000,6700000,1700000,Approved,1
184,2,Not Graduate,No,7500000,23100000,0.324675325,4,824,12100000,10900000,26300000,9500000,Approved,1
185,4,Graduate,No,1400000,3100000,0.451612903,14,575,3000000,2100000,4900000,1400000,Approved,1
186,2,Graduate,Yes,3800000,10900000,0.348623853,10,766,1900000,3900000,8600000,3000000,Approved,1
187,1,Not Graduate,Yes,1700000,5000000,0.34,10,888,2900000,900000,4100000,2200000,Approved,1
188,3,Graduate,Yes,9000000,30400000,0.296052632,6,638,16800000,11000000,26900000,9200000,Approved,1
189,5,Not Graduate,Yes,7300000,23300000,0.313304721,6,622,7100000,11600000,26400000,10500000,Approved,1
190,1,Not Graduate,No,7400000,19800000,0.373737374,18,458,12600000,6200000,27700000,4000000,Rejected,0
191,1,Not Graduate,No,9000000,28200000,0.319148936,16,327,1700000,2300000,24000000,11200000,Rejected,0
192,0,Not Graduate,No,3000000,6500000,0.461538462,2,612,8800000,3400000,6700000,1700000,Approved,1
193,1,Graduate,No,800000,2900000,0.275862069,8,682,2200000,1100000,2900000,700000,Approved,1
194,2,Graduate,No,4800000,13200000,0.363636364,2,583,13700000,5800000,9500000,5200000,Approved,1
195,5,Not Graduate,No,6400000,18300000,0.349726776,8,697,10000000,3600000,22500000,3600000,Approved,1
196,3,Graduate,No,9200000,27100000,0.339483395,12,306,5800000,11500000,28000000,9600000,Rejected,0
197,4,Not Graduate,Yes,400000,1500000,0.266666667,2,669,-100000,600000,900000,500000,Approved,1
198,2,Not Graduate,No,2800000,6000000,0.466666667,18,816,6300000,4200000,8000000,3400000,Approved,1
199,4,Not Graduate,Yes,8500000,28900000,0.294117647,20,455,15200000,5800000,22500000,9400000,Rejected,0
200,3,Graduate,Yes,4700000,16400000,0.286585366,10,318,11400000,8100000,16200000,4300000,Rejected,0
201,4,Not Graduate,Yes,9800000,21200000,0.462264151,20,355,22000000,8900000,31800000,14400000,Rejected,0
202,2,Not Graduate,Yes,3800000,8900000,0.426966292,16,389,200000,5600000,12200000,2200000,Rejected,0
203,2,Graduate,No,500000,1500000,0.333333333,2,888,1500000,300000,1500000,600000,Approved,1
204,2,Graduate,Yes,6900000,15600000,0.442307692,6,352,13000000,5300000,22600000,10000000,Rejected,0
205,4,Not Graduate,Yes,9600000,30100000,0.318936877,12,870,300000,6700000,38200000,5600000,Approved,1
206,3,Not Graduate,No,2900000,6500000,0.446153846,18,827,8300000,600000,10400000,3200000,Approved,1
207,2,Graduate,No,9800000,20900000,0.468899522,12,768,3400000,10200000,38600000,13400000,Approved,1
208,0,Graduate,No,7100000,15400000,0.461038961,18,707,10300000,10800000,19600000,5800000,Approved,1
209,1,Not Graduate,Yes,7700000,19100000,0.403141361,10,355,11300000,4900000,21900000,6600000,Rejected,0
210,3,Graduate,No,1400000,3300000,0.424242424,2,652,100000,2100000,3500000,1900000,Approved,1
211,3,Graduate,No,7800000,15900000,0.490566038,2,665,14400000,900000,27200000,5400000,Approved,1
212,5,Not Graduate,Yes,1700000,6000000,0.283333333,18,420,500000,1600000,3700000,2300000,Rejected,0
213,2,Not Graduate,No,8500000,32700000,0.259938838,18,471,12600000,9400000,33900000,12500000,Rejected,0
214,5,Not Graduate,No,1900000,7500000,0.253333333,20,715,5100000,2800000,6500000,2800000,Approved,1
215,2,Not Graduate,Yes,6700000,15200000,0.440789474,10,689,0,8200000,15000000,6800000,Approved,1
216,3,Graduate,Yes,6900000,16400000,0.420731707,4,787,11100000,6100000,26400000,3800000,Approved,1
217,2,Graduate,No,2600000,7800000,0.333333333,4,819,3100000,4300000,5700000,1500000,Approved,1
218,4,Graduate,Yes,9600000,21100000,0.454976303,6,809,16100000,9500000,34700000,8700000,Approved,1
219,1,Not Graduate,Yes,6800000,17000000,0.4,2,744,15500000,3900000,23700000,3500000,Approved,1
220,0,Not Graduate,No,3200000,11300000,0.283185841,6,484,3500000,5500000,8500000,2100000,Rejected,0
221,4,Not Graduate,No,2900000,10400000,0.278846154,6,673,5100000,1700000,10600000,1700000,Approved,1
222,3,Graduate,Yes,7900000,21200000,0.372641509,18,695,13800000,10600000,21800000,4900000,Approved,1
223,4,Not Graduate,Yes,3900000,12400000,0.314516129,12,473,6400000,4700000,13100000,3800000,Rejected,0
224,4,Graduate,Yes,4600000,11000000,0.418181818,2,491,9000000,4000000,16100000,3500000,Rejected,0
225,3,Not Graduate,Yes,700000,1700000,0.411764706,8,733,1200000,800000,2400000,500000,Approved,1
226,0,Not Graduate,No,5200000,15600000,0.333333333,20,434,14100000,5800000,18100000,5500000,Rejected,0
227,3,Not Graduate,Yes,5900000,20600000,0.286407767,10,777,1900000,4600000,21200000,6400000,Approved,1
228,4,Graduate,No,7200000,19100000,0.376963351,4,774,9400000,7000000,17900000,3600000,Approved,1
229,1,Not Graduate,Yes,8700000,27000000,0.322222222,10,717,25500000,8600000,17500000,9100000,Approved,1
230,3,Not Graduate,Yes,1100000,3500000,0.314285714,12,503,3000000,400000,2200000,1200000,Rejected,0
231,1,Graduate,Yes,4000000,10900000,0.366972477,14,598,3600000,6600000,13600000,4400000,Approved,1
232,2,Graduate,No,9800000,32400000,0.302469136,2,543,24200000,17500000,25700000,7700000,Approved,1
233,0,Not Graduate,Yes,2700000,6800000,0.397058824,20,796,700000,4200000,7000000,1900000,Approved,1
234,3,Not Graduate,Yes,8800000,34600000,0.25433526,8,386,14800000,16500000,18400000,6000000,Rejected,0
235,5,Not Graduate,Yes,3300000,7800000,0.423076923,16,632,8500000,500000,7100000,4900000,Approved,1
236,1,Graduate,Yes,6900000,23400000,0.294871795,4,481,18700000,1100000,23400000,10200000,Approved,1
237,3,Graduate,Yes,900000,3500000,0.257142857,4,770,700000,0,2000000,600000,Rejected,0
238,3,Graduate,Yes,4100000,15500000,0.264516129,6,667,2800000,1600000,14700000,4000000,Approved,1
239,3,Not Graduate,Yes,4700000,17500000,0.268571429,8,585,1200000,3100000,9600000,4900000,Approved,1
240,5,Graduate,Yes,3400000,11600000,0.293103448,16,479,9200000,5700000,11200000,2400000,Rejected,0
241,2,Graduate,No,9600000,22500000,0.426666667,18,851,7400000,16200000,24300000,12700000,Approved,1
242,3,Not Graduate,Yes,7000000,16200000,0.432098765,6,378,20000000,12600000,20300000,5500000,Rejected,0
243,5,Graduate,No,5700000,12900000,0.441860465,18,807,4100000,900000,18600000,5500000,Approved,1
244,1,Not Graduate,Yes,8200000,32400000,0.25308642,18,831,22800000,12300000,17700000,7800000,Approved,1
245,2,Not Graduate,No,2100000,5100000,0.411764706,12,674,2200000,3200000,6400000,2400000,Approved,1
246,1,Not Graduate,Yes,8000000,28100000,0.284697509,18,725,1900000,12800000,23000000,7500000,Approved,1
247,2,Not Graduate,No,8000000,29300000,0.273037543,4,600,16500000,13200000,29400000,6500000,Approved,1
248,0,Not Graduate,Yes,9400000,27000000,0.348148148,10,536,4400000,1700000,33800000,4800000,Rejected,0
249,0,Graduate,No,8400000,20600000,0.40776699,10,477,1500000,1500000,25000000,11900000,Rejected,0
250,1,Not Graduate,Yes,1900000,5000000,0.38,6,560,1000000,1900000,6300000,1400000,Approved,1
251,0,Not Graduate,Yes,4200000,16400000,0.256097561,20,539,9500000,2100000,11400000,3100000,Rejected,0
252,5,Graduate,No,2600000,9100000,0.285714286,8,852,3700000,700000,10300000,3300000,Approved,1
253,3,Not Graduate,No,3700000,8500000,0.435294118,20,853,8300000,5700000,7500000,4900000,Approved,1
254,0,Graduate,No,8800000,30900000,0.284789644,12,729,1700000,700000,25700000,11400000,Approved,1
255,2,Not Graduate,No,2100000,4700000,0.446808511,2,546,6000000,3200000,5700000,1500000,Rejected,0
256,3,Graduate,Yes,900000,2400000,0.375,10,489,800000,0,2800000,500000,Rejected,0
257,3,Graduate,Yes,9800000,35400000,0.276836158,6,869,14400000,16400000,22800000,10300000,Approved,1
258,2,Not Graduate,No,8000000,20000000,0.4,2,502,4100000,2200000,31600000,9900000,Rejected,0
259,0,Graduate,No,9800000,38800000,0.25257732,8,652,23200000,19000000,29700000,5400000,Approved,1
260,0,Not Graduate,Yes,300000,1100000,0.272727273,8,789,400000,100000,800000,400000,Approved,1
261,4,Not Graduate,No,2700000,8100000,0.333333333,4,325,5000000,800000,9900000,3400000,Approved,1
262,3,Graduate,Yes,7400000,19600000,0.37755102,2,716,4100000,8900000,29100000,4200000,Approved,1
